,,,,,,,,,,,max,100,,,,Rainfall Bins,0,1,10,15,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Round,Team,Score,Margin,WinLoss,Opposition,Day,Date,Start Time,Venue,Attendance,Rainfall(mm),,Year,,Rainfall,None,Light,Medium,Heavy,,,,Team,Adelaide,Brisbane Lions,Carlton,Collingwood,Essendon,Fremantle,Geelong,Gold Coast,Greater Western Sydney,Hawthorn,Melbourne,North Melbourne,Port Adelaide,Richmond,St Kilda,Sydney,West Coast,Western Bulldogs,,Venue,Adelaide Oval,Bellerive Oval,Blacktown,Carrara,Cazaly's Stadium,Docklands,Eureka Stadium,Football Park,Gabba,Jiangwan Stadium,Kardinia Park,M.C.G.,Manuka Oval,Marrara Oval,Perth Stadium,Riverway Stadium,S.C.G.,Stadium Australia,Subiaco,Sydney Showground,Traeger Park,Wellington,York Park
2012,R1,Adelaide,137,69,W,Gold Coast,Sat,31-Mar-12,3:45 PM,Carrara,"12,790",0,,2012,,Adelaide,29.0,-9.8,,,,,,Adelaide,,-10.0,69.0,-26.0,4.0,22.3,11.5,80.0,82.5,-30.5,69.0,-32.0,38.5,19.0,4.0,-12.0,49.0,18.0,,Adelaide,,,,69.0,,18.5,,24.4,-10.0,,-27.0,2.7,,,,,5.0,,29.0,119.0,,,
2012,R10,Adelaide,111,29,W,Fremantle,Sat,2-Jun-12,2:40 PM,Subiaco,"31,392",0,,,,Brisbane Lions,-3.4,-15.8,-13.0,-18.0,,,,Brisbane Lions,10.0,,-63.5,-58.0,-67.0,-29.0,-38.0,38.0,92.0,-65.0,51.0,-16.0,11.0,-48.0,-13.0,-47.0,-48.0,62.5,,Brisbane Lions,,,,11.0,,-15.3,,11.0,4.5,,,-12.0,,,,,-47.0,,-63.5,,,,
2012,R12,Adelaide,115,4,W,St Kilda,Fri,15-Jun-12,8:10 PM,Football Park,"36,394",0,,,,Carlton,0.0,21.4,4.0,,,,,Carlton,-69.0,63.5,,41.5,33.0,8.0,-12.0,-12.0,67.0,-50.0,58.0,-53.0,-54.0,24.0,-19.5,-22.0,-10.0,18.0,,Carlton,,,,-12.0,,-8.2,,-54.0,91.0,,,25.6,,,,,,,-1.0,,,,
2012,R13,Adelaide,89,-32,L,North Melbourne,Sun,24-Jun-12,4:40 PM,Docklands,"18,866",0,,,,Collingwood,12.4,12.6,-38.0,1.0,,,,Collingwood,26.0,58.0,-41.5,,16.5,29.0,21.5,97.0,120.0,-35.7,42.0,-30.0,24.0,21.0,6.0,-9.0,-11.0,21.0,,Collingwood,,,,,,5.0,,26.0,58.0,,,6.1,,,,,,-9.0,-49.0,120.0,,,
2012,R15,Adelaide,116,58,W,Port Adelaide,Sat,7-Jul-12,7:10 PM,Football Park,"34,829",0,,,,Essendon,1.5,-1.4,,-1.0,,,,Essendon,-4.0,67.0,-33.0,-16.5,,24.0,-67.0,17.0,66.0,-94.0,-6.0,-11.0,37.5,-13.0,-71.0,-4.0,61.0,84.0,,Essendon,,,,17.0,,-2.1,,23.0,,,,-18.7,,,,,,,24.0,66.0,,,
2012,R16,Adelaide,178,119,W,Greater Western Sydney,Sun,15-Jul-12,1:10 PM,Sydney Showground,"7,669",0,,,,Fremantle,11.4,11.0,,,,,,Fremantle,-22.3,29.0,-8.0,-29.0,-24.0,,10.0,7.0,95.0,-56.0,47.5,53.0,33.5,17.0,13.0,-13.0,8.5,38.0,,Fremantle,,,,7.0,,33.3,,-3.7,,,,-0.3,,,,,-13.0,,20.4,,,,-56.0
2012,R2,Adelaide,82,18,W,Western Bulldogs,Sat,7-Apr-12,7:10 PM,Football Park,"34,021",0,,,,Geelong,6.4,24.7,,38.0,,,,Geelong,-11.5,38.0,12.0,-21.5,67.0,-10.0,,14.0,65.0,2.0,43.0,-17.0,38.0,10.0,42.0,14.0,-5.0,27.0,,Geelong,,,,14.0,,24.8,,-50.0,38.0,,35.9,-11.0,,,,,-6.0,,-4.5,,,,
2012,R20,Adelaide,119,28,W,Fremantle,Sat,11-Aug-12,1:40 PM,Football Park,"35,027",0,,,,Gold Coast,-44.4,-43.0,,,,,,Gold Coast,-80.0,-38.0,12.0,-97.0,-17.0,-7.0,-14.0,,1.5,-64.0,-42.0,-20.5,-48.0,2.0,-93.5,-72.0,-126.0,-38.0,,Gold Coast,,,,-27.1,2.0,-63.0,,-91.0,-65.0,,,-67.7,-27.0,-38.0,,,,,-126.0,,,,
2012,R21,Adelaide,85,-10,L,Brisbane Lions,Sat,18-Aug-12,7:40 PM,Gabba,"18,979",0,,,,Greater Western Sydney,-69.5,-67.0,,-25.0,,,,Greater Western Sydney,-82.5,-92.0,-67.0,-120.0,-66.0,-95.0,-65.0,-1.5,,-162.0,-51.5,-78.5,34.0,-12.0,-128.0,-78.5,-81.0,-42.0,,Greater Western Sydney,,-129.0,-81.0,-30.0,,-97.5,,-46.0,-92.0,,-65.0,-120.0,-13.3,,,,,-78.5,-95.0,-51.8,,,
