Year,Team 1,Team 1 Label,Team 2,Team 2 Label,Margin
2012,Adelaide,ADE,Adelaide,ADE,
2012,Adelaide,ADE,Brisbane Lions,BRI,-10
2012,Adelaide,ADE,Carlton,CAR,69
2012,Adelaide,ADE,Collingwood,COL,-26
2012,Adelaide,ADE,Essendon,ESS,4
2012,Adelaide,ADE,Fremantle,FRE,22.3
2012,Adelaide,ADE,Geelong,GEE,11.5
2012,Adelaide,ADE,Gold Coast,GCS,80
2012,Adelaide,ADE,Greater Western Sydney,GWS,82.5
2012,Adelaide,ADE,Hawthorn,HAW,-30.5
2012,Adelaide,ADE,Melbourne,MEL,69
2012,Adelaide,ADE,North Melbourne,NOR,-32
2012,Adelaide,ADE,Port Adelaide,POR,38.5
2012,Adelaide,ADE,Richmond,RIC,19
2012,Adelaide,ADE,St Kilda,STK,4
2012,Adelaide,ADE,Sydney,SYD,-12
2012,Adelaide,ADE,West Coast,WCE,49
2012,Adelaide,ADE,Western Bulldogs,WBD,18
2012,Brisbane Lions,BRI,Adelaide,ADE,10
2012,Brisbane Lions,BRI,Brisbane Lions,BRI,
2012,Brisbane Lions,BRI,Carlton,CAR,-63.5
2012,Brisbane Lions,BRI,Collingwood,COL,-58
2012,Brisbane Lions,BRI,Essendon,ESS,-67
2012,Brisbane Lions,BRI,Fremantle,FRE,-29
2012,Brisbane Lions,BRI,Geelong,GEE,-38
2012,Brisbane Lions,BRI,Gold Coast,GCS,38
2012,Brisbane Lions,BRI,Greater Western Sydney,GWS,92
2012,Brisbane Lions,BRI,Hawthorn,HAW,-65
2012,Brisbane Lions,BRI,Melbourne,MEL,51
2012,Brisbane Lions,BRI,North Melbourne,NOR,-16
2012,Brisbane Lions,BRI,Port Adelaide,POR,11
2012,Brisbane Lions,BRI,Richmond,RIC,-48
2012,Brisbane Lions,BRI,St Kilda,STK,-13
2012,Brisbane Lions,BRI,Sydney,SYD,-47
2012,Brisbane Lions,BRI,West Coast,WCE,-48
2012,Brisbane Lions,BRI,Western Bulldogs,WBD,62.5
2012,Carlton,CAR,Adelaide,ADE,-69
2012,Carlton,CAR,Brisbane Lions,BRI,63.5
2012,Carlton,CAR,Carlton,CAR,
2012,Carlton,CAR,Collingwood,COL,41.5
2012,Carlton,CAR,Essendon,ESS,33
2012,Carlton,CAR,Fremantle,FRE,8
2012,Carlton,CAR,Geelong,GEE,-12
2012,Carlton,CAR,Gold Coast,GCS,-12
2012,Carlton,CAR,Greater Western Sydney,GWS,67
2012,Carlton,CAR,Hawthorn,HAW,-50
2012,Carlton,CAR,Melbourne,MEL,58
2012,Carlton,CAR,North Melbourne,NOR,-53
2012,Carlton,CAR,Port Adelaide,POR,-54
2012,Carlton,CAR,Richmond,RIC,24
2012,Carlton,CAR,St Kilda,STK,-19.5
2012,Carlton,CAR,Sydney,SYD,-22
2012,Carlton,CAR,West Coast,WCE,-10
2012,Carlton,CAR,Western Bulldogs,WBD,18
2012,Collingwood,COL,Adelaide,ADE,26
2012,Collingwood,COL,Brisbane Lions,BRI,58
2012,Collingwood,COL,Carlton,CAR,-41.5
2012,Collingwood,COL,Collingwood,COL,
2012,Collingwood,COL,Essendon,ESS,16.5
2012,Collingwood,COL,Fremantle,FRE,29
2012,Collingwood,COL,Geelong,GEE,21.5
2012,Collingwood,COL,Gold Coast,GCS,97
2012,Collingwood,COL,Greater Western Sydney,GWS,120
2012,Collingwood,COL,Hawthorn,HAW,-35.7
2012,Collingwood,COL,Melbourne,MEL,42
2012,Collingwood,COL,North Melbourne,NOR,-30
2012,Collingwood,COL,Port Adelaide,POR,24
2012,Collingwood,COL,Richmond,RIC,21
2012,Collingwood,COL,St Kilda,STK,6
2012,Collingwood,COL,Sydney,SYD,-9
2012,Collingwood,COL,West Coast,WCE,-11
2012,Collingwood,COL,Western Bulldogs,WBD,21
2012,Essendon,ESS,Adelaide,ADE,-4
2012,Essendon,ESS,Brisbane Lions,BRI,67
2012,Essendon,ESS,Carlton,CAR,-33
2012,Essendon,ESS,Collingwood,COL,-16.5
2012,Essendon,ESS,Essendon,ESS,
2012,Essendon,ESS,Fremantle,FRE,24
2012,Essendon,ESS,Geelong,GEE,-67
2012,Essendon,ESS,Gold Coast,GCS,17
2012,Essendon,ESS,Greater Western Sydney,GWS,66
2012,Essendon,ESS,Hawthorn,HAW,-94
