Venue,Venue (Alternative),City Bin,Latitude,Longitude,Capacity,Length,Width ,State/Country ,Team,Margin,Margin Bin,Home
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Adelaide,14.88125208,14.0,Y
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Adelaide,-33,-33.0,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Adelaide,48.34285714,35.2,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Adelaide,21.08333333,-13.9,
Eureka Stadium,Mars Stadium,Melbourne,-37.53821,143.84903,11000,159.5,128.8,VIC,Adelaide,-34,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Adelaide,13.0952381,,Y
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Adelaide,22,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Adelaide,-30.5,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Adelaide,-12.33333333,,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Adelaide,-14,-14.0,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Adelaide,24,24.0,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Adelaide,-6.5,-4.4,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Adelaide,-9.4,32.6,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Adelaide,-2.25,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,Adelaide,74.5,,
Traeger Park,TIO Traeger Park Oval,Traeger Park,-23.71066,133.87488,7164,175,135,NT,Adelaide,-91,-91.0,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Brisbane Lions,-50.75,-24.9,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Brisbane Lions,-7.583333333,-8.3,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,Brisbane Lions,32,32.0,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Brisbane Lions,-23.14583333,-29.0,
Eureka Stadium,Mars Stadium,Melbourne,-37.53821,143.84903,11000,159.5,128.8,VIC,Brisbane Lions,-16,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Brisbane Lions,1,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Brisbane Lions,-9.034965035,,Y
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Brisbane Lions,-46,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Brisbane Lions,-30.83333333,,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Brisbane Lions,19,19.0,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Brisbane Lions,27,-16.0,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Brisbane Lions,-47,-26.5,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Brisbane Lions,-59.08333333,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,Brisbane Lions,-6,,
Wellington,Sky Stadium,Wellington,-41.276501,174.783752,34500,160,130,New Zealand,Brisbane Lions,3,3.0,
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,Brisbane Lions,-26,-26.0,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Carlton,-66,-46.3,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Carlton,-86,-86.0,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Carlton,4,-2.7,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Carlton,-16.22663139,-19.2,Y
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Carlton,-26.5,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Carlton,-9.40625,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Carlton,-31.33333333,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Carlton,-10.12208995,,Y
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Carlton,33,33.0,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Carlton,-13.77777778,-11.8,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Carlton,-37.57142857,-40.9,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Carlton,-24,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Carlton,-9.916666667,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,Carlton,-61,,
Wellington,Sky Stadium,Wellington,-41.276501,174.783752,34500,160,130,New Zealand,Carlton,40,40.0,
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,Carlton,-12,-12.0,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Collingwood,8.428571429,2.0,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Collingwood,22.2,29.5,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Collingwood,13.07407407,9.1,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Collingwood,-4.5,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Collingwood,36.875,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Collingwood,5.211072207,,Y
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Collingwood,-5.416666667,-18.1,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Collingwood,-17,5.7,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Collingwood,13.33333333,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Collingwood,-30.83333333,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,Collingwood,20.83333333,,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Essendon,-16.97222222,6.0,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Essendon,3.142857143,3.9,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Essendon,-6.562345679,-3.7,Y
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Essendon,29,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Essendon,4.583333333,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Essendon,-0.757936508,,Y
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Essendon,-12,-12.0,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Essendon,-6.666666667,-18.2,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Essendon,-29.83333333,-12.3,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Essendon,-12,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Essendon,-29.66666667,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,Essendon,5,,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Fremantle,-42.41666667,-20.4,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Fremantle,5.916666667,12.0,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,Fremantle,-8,-8.0,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Fremantle,0.092592593,-10.6,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Fremantle,1.666666667,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Fremantle,18,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Fremantle,-21.2,,
