Year,Venue,Adelaide Oval,Bellerive Oval,Blacktown,Carrara,Cazaly's Stadium,Docklands,Eureka Stadium,Football Park,Gabba,Jiangwan Stadium,Kardinia Park,M.C.G.,Manuka Oval,Marrara Oval,Perth Stadium,Riverway Stadium,S.C.G.,Stadium Australia,Subiaco,Sydney Showground,Traeger Park,Wellington,York Park
2012,Adelaide,,,,69,,18.5,,24.4,-10,,-27,2.7,,,,,5,,29,119,,,
2012,Brisbane Lions,,,,11,,-15.3,,11,4.5,,,-12,,,,,-47,,-63.5,,,,
2012,Carlton,,,,-12,,-8.2,,-54,91,,,25.6,,,,,,,-1,,,,
2012,Collingwood,,,,,,5,,26,58,,,6.1,,,,,,-9,-49,120,,,
2012,Essendon,,,,17,,-2.1,,23,,,,-18.7,,,,,,,24,66,,,
2012,Fremantle,,,,7,,33.3,,-3.7,,,,-0.3,,,,,-13,,20.4,,,,-56
2012,Geelong,,,,14,,24.8,,-50,38,,35.9,-11,,,,,-6,,-4.5,,,,
2012,Gold Coast,,,,-27.1,2,-63,,-91,-65,,,-67.7,-27,-38,,,,,-126,,,,
2012,Greater Western Sydney,,-129,-81,-30,,-97.5,,-46,-92,,-65,-120,-13.3,,,,,-78.5,-95,-51.8,,,
2012,Hawthorn,,,,,,83,,46,,,,34.9,,,,,7,,-5,,,,51.5
2012,Melbourne,,,,,,-44,,,-61,,-43,-22.8,25,-28,,,-101,,-84.5,,,,
2012,North Melbourne,,63.5,,7,,21.1,,-2,,,,4,,,,,-36,,-60.5,28,,,-115
2012,Port Adelaide,,,,48,,-29,,-21.5,,,-38,0,,28,,,,,-40,-34,,,-72
2012,Richmond,,,,,-2,-1,,9,48,,-10,14.2,,,,,,,-22,12,,,
2012,St Kilda,,,,95,,33.4,,-4,13,,,0.5,,,,,-29,,-30,,,,
2012,Sydney,,,,72,,20,,25.5,,,-34,-9.5,,,,,34.7,43.8,52,,,,37
2012,West Coast,,2,81,,,-0.7,,-0.5,-2,,,-13.7,,,,,,,37.2,,,,
2012,Western Bulldogs,,,,,,-41.6,,-18,-67,,-34,-24.5,42,38,,,-92,,-38,,,,
2013,Adelaide,,,,28,,-8,,1.8,19,,,-32.3,,,,,,,32,135,,,
2013,Brisbane Lions,,,,2,,-40.3,,-9,6.3,,-1,-23,,19,,,-60,,-40,,,,-58
2013,Carlton,,,,43,,5,,1,13,,,5.4,,,,,-22,-24,24,,,,
2013,Collingwood,,,,-7,,25.3,,-35,49,,,11.4,,,,,,29,-27,,,,
2013,Essendon,,,,,,-1.2,,35,,,,16.6,,,,,-44,,5.5,39,,,
2013,Fremantle,,,,45,,-2.3,,7,,,-13,17.7,,,,,0,,39.4,,,,-42
2013,Geelong,,,,,,11.8,,23,-5,,39.6,11,,,,,21,,66,59,,,
2013,Gold Coast,,,,0.6,-9,-44.5,,-17,-33,,-52,17,44,,,,-41,,-17,,,,
2013,Greater Western Sydney,,,,-83,,-73,,-56,-60,,,-40.5,-40,,,,-129,-30,-113,-70.3,,,-83
2013,Hawthorn,,,,,,30.2,,28,,,,22.3,,,,,,12,50,,,,50.5
2013,Melbourne,,,,-13,,-71,,-68,-28,,-68,-59.3,,-19,,,,,-90,-37,,,
2013,North Melbourne,,-14.5,,-15,,36.5,,-9,-12,,,4,,,,,,,-20,,,,
2013,Port Adelaide,,-10,,38,,-14.3,,1.5,,,-25,29,,-9,,,,,-74,75,,,
