Year,Team,Gm,K,HB,D,M,G,GA,I50,BH,T,HO,FF,FA,CL,CG,R50,AF,SC,CP,UP,ED,DE%,CM,MI5,1%,BO,CCL,SCL,MG,TO,ITC,T50
2012,Blues,22,210.2,146.7,356.9,89.8,13.6,8.5,53,12.9,69.1,42.6,18.1,19.1,39.4,44.8,29.6,1565.2,1682.9,142.3,211.3,257.9,72.3,10.4,13.4,51.3,12.4,,,,,,
2012,Bombers,22,212.1,140.9,352.9,91,13.6,9.2,55.7,13.6,61.1,42.8,19,18.3,36.3,46.7,35.2,1535.1,1631.8,143.1,209.1,249.4,70.7,11.9,11.4,49.7,7.6,,,,,,
2012,Bulldogs,22,202.7,166.9,369.6,87.2,9.9,6.5,48.3,10.7,60.7,43.2,17.4,17.8,39,44.6,33.5,1521.6,1590.6,142.3,226.4,267.3,72.3,11.7,8.4,46.6,8.5,,,,,,
2012,Cats,23,209,147,355.9,92.4,14.5,9.7,55.7,12.6,71.2,37.2,19.3,20.8,35.8,48,30.3,1573.5,1678.7,144,211,255.9,71.9,12.9,14.3,50.5,6.3,,,,,,
2012,Crows,25,217.2,133.4,350.6,91,15.5,10.8,52.2,12.6,58.3,43.8,17.4,18.2,40.2,43.8,33.6,1534.7,1692,148.5,199.8,247.1,70.5,12.7,13.4,47.7,6.8,,,,,,
2012,Demons,22,191,137.4,328.4,83.3,10.2,5.8,45.2,10.7,66.7,41.1,18.6,20.6,33.8,48,35.4,1432.1,1527.6,134.1,190.7,233.7,71.2,13.5,9.6,50.1,8.2,,,,,,
2012,Dockers,24,211.3,142.6,353.9,94.8,13,8.8,49.1,10.7,69.4,44.9,19.5,18.4,36.8,45,31.3,1576.7,1702.8,145.6,207.2,253.5,71.6,12.7,11.1,45.6,5.9,,,,,,
2012,Eagles,24,208.5,149.6,358.2,94.7,15,9.2,53.8,12.7,58.5,51.2,22.2,18,38.6,42,30.2,1562,1734.4,140.8,216.7,265.2,74,14.5,11.8,46.7,13.6,,,,,,
2012,Giants,22,191.3,151.9,343.2,81.3,8.3,5.6,38.2,8.1,58,36.1,21.7,19.9,35.1,48.6,38.8,1408,1475.6,132.9,206.7,244.6,71.3,10.8,7.5,45.5,8.5,,,,,,
2012,Hawks,25,217.8,157,374.8,90.2,17.4,11.8,59.6,15.3,67.5,39.7,19.3,18.7,41.6,43.5,29.7,1628.5,1770.9,145.4,229,280.2,74.8,9.2,13.3,53.6,8,,,,,,
