Year,Round,Team,Score,Margin,Rainfall(mm),,,
2020,R1,Adelaide,71,-3,0,,,
2020,R10,Adelaide,37,-51,0,,,
2020,R11,Adelaide,38,-24,0.2,,,
2020,R12,Adelaide,54,-57,0.2,,,
2020,R13,Adelaide,37,-28,0.4,,,
2020,R15,Adelaide,83,35,0,,,
2020,R16,Adelaide,59,12,0,,,
2020,R17,Adelaide,72,16,7.8,,,
2020,R18,Adelaide,33,-44,0,,,
2020,R2,Adelaide,35,-75,0.6,,,
2020,R3,Adelaide,29,-53,0,,,
2020,R4,Adelaide,46,-37,0.4,,,
2020,R5,Adelaide,34,-20,0,,,
2020,R6,Adelaide,34,-33,0.6,,,
2020,R7,Adelaide,55,-23,0.2,,,
2020,R8,Adelaide,59,-3,0,,,
2020,R9,Adelaide,50,-69,0,,,
2019,R1,Adelaide,55,-32,0,,,
2019,R10,Adelaide,73,-12,1.8,,,
2019,R11,Adelaide,90,2,0,,,
2019,R12,Adelaide,82,21,0,,,
2019,R13,Adelaide,101,33,0.8,,,
2019,R15,Adelaide,69,-27,0,,,
2019,R16,Adelaide,44,-57,0,,,
2019,R17,Adelaide,151,95,0,,,
2019,R18,Adelaide,75,-21,0,,,
2019,R19,Adelaide,60,-27,8,,,
2019,R2,Adelaide,88,26,0,,,
2019,R20,Adelaide,92,22,0,,,
2019,R21,Adelaide,80,-10,0,,,
2019,R22,Adelaide,48,-66,0,,,
2019,R23,Adelaide,87,-34,0.8,,,
2019,R3,Adelaide,75,-24,0,,,
2019,R4,Adelaide,59,-12,0,,,
2019,R5,Adelaide,119,73,0.8,,,
2019,R6,Adelaide,97,29,4,,,
2019,R7,Adelaide,51,17,0,,,
2019,R8,Adelaide,88,20,1,,,
2019,R9,Adelaide,92,-1,1.6,,,
2018,R1,Adelaide,87,-12,0,,,
2018,R10,Adelaide,55,-91,0,,,
2018,R11,Adelaide,81,-16,0,,,
2018,R12,Adelaide,68,-3,21.8,,,
2018,R13,Adelaide,32,-56,2.2,,,
2018,R15,Adelaide,88,10,4,,,
2018,R16,Adelaide,56,-47,0,,,
2018,R17,Adelaide,112,15,1.8,,,
2018,R18,Adelaide,93,5,0,,,
2018,R19,Adelaide,77,-13,0,,,
2018,R2,Adelaide,118,36,0,,,
2018,R20,Adelaide,96,3,1.8,,,
2018,R21,Adelaide,92,-14,,,,
2018,R22,Adelaide,86,9,0.8,,,
2018,R23,Adelaide,165,104,0,,,
2018,R3,Adelaide,104,49,0,,,
2018,R4,Adelaide,58,-48,0,,,
2018,R5,Adelaide,85,10,0,,,
2018,R6,Adelaide,110,48,0,,,
2018,R7,Adelaide,125,55,0.2,,,
2018,R8,Adelaide,90,-5,0,,,
2018,R9,Adelaide,63,37,4.6,,,
2017,GF,Adelaide,60,-48,1.4,,,
2017,PF,Adelaide,136,61,0,,,
2017,QF,Adelaide,84,36,1.8,,,
2017,R1,Adelaide,147,56,0,,,
2017,R10,Adelaide,143,100,0,,,
2017,R11,Adelaide,74,-22,0,,,
2017,R12,Adelaide,111,57,0,,,
2017,R14,Adelaide,82,-14,0,,,
2017,R15,Adelaide,89,12,0.2,,,
2017,R16,Adelaide,104,59,3.6,,,
2017,R17,Adelaide,116,46,0,,,
2017,R18,Adelaide,91,21,0,,,
2017,R19,Adelaide,103,0,0,,,
2017,R2,Adelaide,113,24,0,,,
2017,R20,Adelaide,130,84,9.2,,,
2017,R21,Adelaide,123,43,0,,,
2017,R22,Adelaide,80,-3,3.4,,,
2017,R23,Adelaide,71,-29,0,,,
2017,R3,Adelaide,100,17,0,,,
2017,R4,Adelaide,153,65,0,,,
2017,R5,Adelaide,153,67,16.8,,,
2017,R6,Adelaide,140,76,0,,,
2017,R7,Adelaide,86,-59,0,,,
2017,R8,Adelaide,66,-41,0,,,
2017,R9,Adelaide,140,80,3,,,
2016,EF,Adelaide,141,62,0,,,
2016,R1,Adelaide,97,-10,0.4,,,
2016,R10,Adelaide,107,22,13.2,,,
2016,R11,Adelaide,133,88,0.6,,,
2016,R12,Adelaide,105,29,2,,,
2016,R14,Adelaide,100,33,2.8,,,
2016,R15,Adelaide,120,22,0,,,
2016,R16,Adelaide,107,60,0.2,,,
2016,R17,Adelaide,97,28,0,,,
2016,R18,Adelaide,55,-30,9.2,,,
2016,R19,Adelaide,143,82,3.4,,,
2016,R2,Adelaide,144,58,0,,,
2016,R20,Adelaide,177,138,0,,,
2016,R21,Adelaide,142,72,0,,,
2016,R22,Adelaide,109,15,5.6,,,
2016,R23,Adelaide,71,-29,0,,,
2016,R3,Adelaide,128,36,0,,,
2016,R4,Adelaide,113,10,0,,,
2016,R5,Adelaide,109,-3,21,,,
2016,R6,Adelaide,97,33,0,,,
2016,R7,Adelaide,108,-15,0.6,,,
2016,R8,Adelaide,72,-26,0.4,,,
2016,R9,Adelaide,149,75,,,,
2016,SF,Adelaide,82,-36,0,,,
2015,EF,Adelaide,109,7,0,,,
2015,R1,Adelaide,140,77,0,,,
2015,R10,Adelaide,99,9,0.4,,,
2015,R12,Adelaide,85,-29,2.8,,,
2015,R13,Adelaide,82,13,0,,,
2015,R15,Adelaide,91,-56,0.2,,,
2015,R16,Adelaide,116,3,0.2,,,
2015,R17,Adelaide,125,45,1.8,,,
2015,R18,Adelaide,65,-52,0,,,
2015,R19,Adelaide,88,36,0.4,,,
2015,R2,Adelaide,90,27,0,,,
2015,R20,Adelaide,171,112,0,,,
2015,R21,Adelaide,131,87,0.6,,,
2015,R22,Adelaide,126,57,0,,,
2015,R23,Adelaide,80,-39,0,,,
2015,R3,Adelaide,80,25,0,,,
2015,R4,Adelaide,68,-57,,,,
