Year,Team,Team 2,Margin
2012,Adelaide,Adelaide,
2012,Adelaide,Brisbane Lions,-10
2012,Adelaide,Carlton,69
2012,Adelaide,Collingwood,-26
2012,Adelaide,Essendon,4
2012,Adelaide,Fremantle,22.3
2012,Adelaide,Geelong,11.5
2012,Adelaide,Gold Coast,80
2012,Adelaide,Greater Western Sydney,82.5
2012,Adelaide,Hawthorn,-30.5
2012,Adelaide,Melbourne,69
2012,Adelaide,North Melbourne,-32
2012,Adelaide,Port Adelaide,38.5
2012,Adelaide,Richmond,19
2012,Adelaide,St Kilda,4
2012,Adelaide,Sydney,-12
2012,Adelaide,West Coast,49
2012,Adelaide,Western Bulldogs,18
2012,Brisbane Lions,Adelaide,10
2012,Brisbane Lions,Brisbane Lions,
2012,Brisbane Lions,Carlton,-63.5
2012,Brisbane Lions,Collingwood,-58
2012,Brisbane Lions,Essendon,-67
2012,Brisbane Lions,Fremantle,-29
2012,Brisbane Lions,Geelong,-38
2012,Brisbane Lions,Gold Coast,38
2012,Brisbane Lions,Greater Western Sydney,92
2012,Brisbane Lions,Hawthorn,-65
2012,Brisbane Lions,Melbourne,51
2012,Brisbane Lions,North Melbourne,-16
2012,Brisbane Lions,Port Adelaide,11
2012,Brisbane Lions,Richmond,-48
2012,Brisbane Lions,St Kilda,-13
2012,Brisbane Lions,Sydney,-47
2012,Brisbane Lions,West Coast,-48
2012,Brisbane Lions,Western Bulldogs,62.5
2012,Carlton,Adelaide,-69
2012,Carlton,Brisbane Lions,63.5
2012,Carlton,Carlton,
2012,Carlton,Collingwood,41.5
2012,Carlton,Essendon,33
2012,Carlton,Fremantle,8
2012,Carlton,Geelong,-12
2012,Carlton,Gold Coast,-12
2012,Carlton,Greater Western Sydney,67
2012,Carlton,Hawthorn,-50
2012,Carlton,Melbourne,58
2012,Carlton,North Melbourne,-53
2012,Carlton,Port Adelaide,-54
2012,Carlton,Richmond,24
2012,Carlton,St Kilda,-19.5
2012,Carlton,Sydney,-22
2012,Carlton,West Coast,-10
2012,Carlton,Western Bulldogs,18
2012,Collingwood,Adelaide,26
2012,Collingwood,Brisbane Lions,58
2012,Collingwood,Carlton,-41.5
2012,Collingwood,Collingwood,
2012,Collingwood,Essendon,16.5
2012,Collingwood,Fremantle,29
2012,Collingwood,Geelong,21.5
2012,Collingwood,Gold Coast,97
2012,Collingwood,Greater Western Sydney,120
2012,Collingwood,Hawthorn,-35.7
2012,Collingwood,Melbourne,42
2012,Collingwood,North Melbourne,-30
2012,Collingwood,Port Adelaide,24
2012,Collingwood,Richmond,21
2012,Collingwood,St Kilda,6
2012,Collingwood,Sydney,-9
2012,Collingwood,West Coast,-11
2012,Collingwood,Western Bulldogs,21
2012,Essendon,Adelaide,-4
2012,Essendon,Brisbane Lions,67
2012,Essendon,Carlton,-33
2012,Essendon,Collingwood,-16.5
2012,Essendon,Essendon,
2012,Essendon,Fremantle,24
2012,Essendon,Geelong,-67
2012,Essendon,Gold Coast,17
2012,Essendon,Greater Western Sydney,66
2012,Essendon,Hawthorn,-94
2012,Essendon,Melbourne,-6
2012,Essendon,North Melbourne,-11
2012,Essendon,Port Adelaide,37.5
2012,Essendon,Richmond,-13
2012,Essendon,St Kilda,-71
2012,Essendon,Sydney,-4
2012,Essendon,West Coast,61
2012,Essendon,Western Bulldogs,84
2012,Fremantle,Adelaide,-22.3
2012,Fremantle,Brisbane Lions,29
2012,Fremantle,Carlton,-8
2012,Fremantle,Collingwood,-29
2012,Fremantle,Essendon,-24
2012,Fremantle,Fremantle,
2012,Fremantle,Geelong,10
2012,Fremantle,Gold Coast,7
2012,Fremantle,Greater Western Sydney,95
2012,Fremantle,Hawthorn,-56
2012,Fremantle,Melbourne,47.5
2012,Fremantle,North Melbourne,53
2012,Fremantle,Port Adelaide,33.5
2012,Fremantle,Richmond,17
2012,Fremantle,St Kilda,13
2012,Fremantle,Sydney,-13
2012,Fremantle,West Coast,8.5
2012,Fremantle,Western Bulldogs,38
2012,Geelong,Adelaide,-11.5
2012,Geelong,Brisbane Lions,38
2012,Geelong,Carlton,12
2012,Geelong,Collingwood,-21.5
2012,Geelong,Essendon,67
2012,Geelong,Fremantle,-10
2012,Geelong,Geelong,
2012,Geelong,Gold Coast,14
2012,Geelong,Greater Western Sydney,65
2012,Geelong,Hawthorn,2
2012,Geelong,Melbourne,43
2012,Geelong,North Melbourne,-17
2012,Geelong,Port Adelaide,38
2012,Geelong,Richmond,10
2012,Geelong,St Kilda,42
2012,Geelong,Sydney,14
2012,Geelong,West Coast,-5
2012,Geelong,Western Bulldogs,27
2012,Gold Coast,Adelaide,-80
2012,Gold Coast,Brisbane Lions,-38
2012,Gold Coast,Carlton,12
2012,Gold Coast,Collingwood,-97
2012,Gold Coast,Essendon,-17
2012,Gold Coast,Fremantle,-7
2012,Gold Coast,Geelong,-14
2012,Gold Coast,Gold Coast,
2012,Gold Coast,Greater Western Sydney,1.5
2012,Gold Coast,Hawthorn,-64
2012,Gold Coast,Melbourne,-42
2012,Gold Coast,North Melbourne,-20.5
2012,Gold Coast,Port Adelaide,-48
2012,Gold Coast,Richmond,2
2012,Gold Coast,St Kilda,-93.5
2012,Gold Coast,Sydney,-72
2012,Gold Coast,West Coast,-126
2012,Gold Coast,Western Bulldogs,-38
2012,Greater Western Sydney,Adelaide,-82.5
2012,Greater Western Sydney,Brisbane Lions,-92
2012,Greater Western Sydney,Carlton,-67
2012,Greater Western Sydney,Collingwood,-120
2012,Greater Western Sydney,Essendon,-66
2012,Greater Western Sydney,Fremantle,-95
2012,Greater Western Sydney,Geelong,-65
2012,Greater Western Sydney,Gold Coast,-1.5
2012,Greater Western Sydney,Greater Western Sydney,
2012,Greater Western Sydney,Hawthorn,-162
2012,Greater Western Sydney,Melbourne,-51.5
2012,Greater Western Sydney,North Melbourne,-78.5
2012,Greater Western Sydney,Port Adelaide,34
2012,Greater Western Sydney,Richmond,-12
