Venue,Venue (Alternative),City Bin,Latitude,Longitude,Capacity,Length,Width ,State/Country ,Team,Margin,Margin Bin,Home
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Adelaide,14.9,14.0,Y
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Brisbane Lions,-50.8,-24.9,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Carlton,-66.0,-46.3,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Collingwood,8.4,2.0,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Essendon,-17.0,6.0,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Fremantle,-42.4,-20.4,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Geelong,0.1,-6.7,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Gold Coast,-57.8,-55.9,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Greater Western Sydney,-19.5,-35.3,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Hawthorn,6.0,21.5,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Melbourne,18.6,-24.7,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,North Melbourne,-44.6,-25.1,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Port Adelaide,16.0,3.0,Y
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Richmond,-17.5,3.7,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,St Kilda,-35.9,-28.9,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Sydney,4.5,16.0,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,West Coast,6.8,3.4,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Western Bulldogs,-25.2,-30.1,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Adelaide,-33.0,-33.0,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Carlton,-86.0,-86.0,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Greater Western Sydney,-26.8,-26.8,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Melbourne,-4.7,-4.7,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,North Melbourne,24.8,24.8,Y
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Port Adelaide,-10.0,-10.0,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Richmond,-52.5,-52.5,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,St Kilda,-45.0,-45.0,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Sydney,17.7,17.7,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,West Coast,-16.0,-16.0,
Blacktown,,Blacktown,-33.771549,150.858109,10000,160,141,NSW,Greater Western Sydney,-81.0,-81.0,
Blacktown,,Blacktown,-33.771549,150.858109,10000,160,141,NSW,West Coast,81.0,81.0,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Adelaide,48.3,35.2,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Brisbane Lions,-7.6,-8.3,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Carlton,4.0,-2.7,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Collingwood,22.2,29.5,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Essendon,3.1,3.9,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Fremantle,5.9,12.0,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Geelong,12.3,23.4,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Gold Coast,-11.9,-26.0,Y
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Greater Western Sydney,-7.5,-1.7,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Hawthorn,-0.3,-4.7,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Melbourne,14.2,0.0,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,North Melbourne,-5.6,4.0,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Port Adelaide,29.1,27.7,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Richmond,43.3,45.0,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,St Kilda,2.0,2.7,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Sydney,36.4,24.5,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,West Coast,9.3,12.6,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Western Bulldogs,-24.4,-20.5,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,Brisbane Lions,32.0,32.0,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,Fremantle,-8.0,-8.0,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,Gold Coast,-20.4,-20.4,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,Melbourne,-17.5,-17.5,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,North Melbourne,-16.0,-16.0,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,Richmond,3.5,3.5,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,Sydney,-5.5,-5.5,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,Western Bulldogs,36.4,36.4,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Adelaide,21.1,-13.9,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Brisbane Lions,-23.1,-29.0,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Carlton,-16.2,-19.2,Y
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Collingwood,13.1,9.1,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Essendon,-6.6,-3.7,Y
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Fremantle,0.1,-10.6,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Geelong,17.2,17.0,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Gold Coast,-25.5,-32.6,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Greater Western Sydney,-11.1,-25.5,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Hawthorn,26.1,-5.2,
