Venue,Venue (Alternative),City Bin,Latitude,Longitude,Capacity,Length,Width ,State/Country ,Team,Margin,Margin Bin,Home
Traeger Park,TIO Traeger Park Oval,Traeger Park,-23.71066,133.87488,7164,175,135,NT,Adelaide,-91,-91,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Richmond,-88,-88,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Carlton,-86,-86,
Blacktown,,Blacktown,-33.771549,150.858109,10000,160,141,NSW,Greater Western Sydney,-81,-81,
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,North Melbourne,-71,-71,
Jiangwan Stadium,,Jiangwan Stadium,31.304992,121.515035,11000,160,138,China,St Kilda,-70,-70,
Jiangwan Stadium,,Jiangwan Stadium,31.304992,121.515035,11000,160,138,China,Gold Coast,-56,-56,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Gold Coast,-57.75,-55.875,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Gold Coast,-26.16666667,-53.18333334,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Richmond,-52.5,-52.5,
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,Western Bulldogs,-50.33333333,-50.33333333,
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,Fremantle,-48.4,-48.4,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Carlton,-66,-46.25,
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,Gold Coast,-46.25,-46.25,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,St Kilda,-45,-45,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Gold Coast,-38.5,-45,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Western Bulldogs,-47,-44.20833334,
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,West Coast,-44,-44,
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,Greater Western Sydney,-41.5,-41.5,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Carlton,-37.57142857,-40.85714286,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,St Kilda,-49.2,-39.6,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Greater Western Sydney,-22.66666667,-38.79166667,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Fremantle,-38.6,-38.2,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Melbourne,-22.5,-36.04166667,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Gold Coast,-35.5,-35.5,
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,Port Adelaide,-35.33333333,-35.33333333,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Greater Western Sydney,-19.5,-35.25,
Traeger Park,TIO Traeger Park Oval,Traeger Park,-23.71066,133.87488,7164,175,135,NT,Gold Coast,-35,-35,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Adelaide,-33,-33,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Gold Coast,-25.53125,-32.62239583,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,St Kilda,-13.25,-30.625,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Western Bulldogs,-25.21428571,-30.10714286,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,St Kilda,-2.006225256,-29.75824793,Y
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Brisbane Lions,-23.14583333,-28.99479167,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,St Kilda,-35.85714286,-28.92857143,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Melbourne,-44.66666667,-28.83333334,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Port Adelaide,-27.33333333,-27.33333333,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Greater Western Sydney,-26.75,-26.75,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Brisbane Lions,-47,-26.5,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Gold Coast,-11.89890973,-26.02352894,Y
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,Brisbane Lions,-26,-26,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Melbourne,-15.92592593,-25.92165242,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Greater Western Sydney,-11.05555556,-25.51435185,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,North Melbourne,-44.64285714,-25.07142857,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Brisbane Lions,-50.75,-24.875,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Melbourne,18.58333333,-24.70833334,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,North Melbourne,-18.75,-21.125,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Western Bulldogs,-24.41666667,-20.5,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,Gold Coast,-20.42857143,-20.42857143,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Fremantle,-42.41666667,-20.375,
Wellington,Sky Stadium,Wellington,-41.276501,174.783752,34500,160,130,New Zealand,St Kilda,-19.66666667,-19.66666667,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Carlton,-16.22663139,-19.22735156,Y
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Melbourne,-18.33333333,-18.33333333,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Essendon,-6.666666667,-18.16666667,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Collingwood,-5.416666667,-18.125,
