Year,Team,Venue,Venue (2nd Name),Margin,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Adelaide,Adelaide Oval,,,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Adelaide,Bellerive Oval,Blundstone Arena,,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Adelaide,Blacktown,,,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Adelaide,Carrara,Metricon Stadium,69,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Adelaide,Cazaly's Stadium,,,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Adelaide,Docklands,Marvel Stadium,18.5,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Adelaide,Eureka Stadium,Mars Stadium,,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Adelaide,Football Park,AAMI Stadium,24.35714286,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Adelaide,Gabba,,-10,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Adelaide,Jiangwan Stadium,,,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Adelaide,Kardinia Park,GMHBA,-27,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Adelaide,M.C.G.,,2.666666667,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
